sport,dport,proto,state,dur,sbytes,spkts,label
25822,53,udp,CON,0.001148,146,2,
25557,53,udp,CON,0.001035,132,2,
53847,53,udp,CON,0.001117,146,2,
9590,6661,tcp,FIN,0.214735,980,10,Exploits
36918,80,tcp,FIN,0.911799,1506,26,Exploits
64521,53,udp,CON,0.001084,146,2,
8569,53,udp,CON,0.001106,132,2,
13156,53,udp,CON,0.001104,130,2,
55459,59029,udp,CON,0.00174,528,4,
62105,111,udp,CON,0.004877,568,4,
22160,53,udp,CON,0.001149,132,2,
42094,53,udp,CON,0.00109,132,2,
45400,53,udp,CON,0.001124,146,2,
53052,53,udp,CON,0.001127,132,2,
32302,53,udp,CON,0.001155,132,2,
5702,53,udp,CON,0.001097,132,2,
28228,53,udp,CON,0.001164,132,2,
27804,111,tcp,FIN,0.695382,564,10,Reconnaissance
63163,8080,tcp,FIN,0.290395,1314,12,Exploits
23776,80,tcp,FIN,0.195749,946,10,Exploits
23585,53,udp,CON,0.001107,146,2,
54819,111,udp,CON,0.004571,568,4,
34652,53,udp,CON,0.001152,130,2,
18688,53,udp,CON,0.001106,146,2,
24521,111,udp,CON,0.004458,568,4,
56339,26995,udp,CON,0.001764,520,4,
55894,31810,udp,CON,0.001695,520,4,
41574,53,udp,CON,0.00114,132,2,
13226,53,udp,CON,0.001304,132,2,
17542,53,udp,CON,0.001127,132,2,
11620,53,udp,CON,0.001138,146,2,
49954,53,udp,CON,0.001063,132,2,
44442,53,udp,CON,0.001062,132,2,
57192,111,udp,CON,0.004717,568,4,
46386,53,udp,CON,0.001121,132,2,
30978,53,udp,CON,0.001098,132,2,
50620,29594,udp,CON,0.001687,528,4,
57325,53,udp,CON,0.001186,130,2,
45388,80,tcp,FIN,0.185286,1144,10,Exploits
16524,53,udp,CON,0.00109,132,2,
20954,15964,udp,CON,0.001838,528,4,
26325,53,udp,CON,0.001077,146,2,
51670,53,udp,CON,0.001059,132,2,
59760,53,udp,CON,0.001108,132,2,
57620,53,udp,CON,0.001094,146,2,
12731,53,udp,CON,0.001087,132,2,
63421,111,udp,CON,0.004906,568,4,
50226,53,udp,CON,0.001098,132,2,
3929,53,udp,CON,0.001054,132,2,
53212,53,udp,CON,0.001044,132,2,
13190,53,udp,CON,0.001099,132,2,
45773,53,udp,CON,0.001095,130,2,
54178,53,udp,CON,0.001085,130,2,
30003,143,tcp,FIN,1.040816,1608,32,Exploits
20117,111,udp,CON,0.004814,568,4,
31547,53,udp,CON,0.001078,132,2,
59553,37382,udp,CON,0.001756,528,4,
56626,53,udp,CON,0.001024,146,2,
16464,53,udp,CON,0.001107,132,2,
59680,53,udp,CON,0.001083,130,2,
59680,53,udp,CON,0.001083,130,2,
17916,53,udp,CON,0.001096,146,2,
23282,53,udp,CON,0.001095,132,2,
47096,111,tcp,FIN,0.625212,564,10,Reconnaissance
12090,53,udp,CON,0.001125,146,2,
1371,53,udp,CON,0.00112,132,2,
5470,53,udp,CON,0.000997,146,2,
18442,53,udp,CON,0.001068,146,2,
34198,53,udp,CON,0.001034,132,2,
17961,53,udp,CON,0.001099,130,2,
9002,111,tcp,FIN,0.629429,564,10,Reconnaissance
12940,80,tcp,FIN,0.268272,878,10,DoS
49540,53,udp,CON,0.001116,132,2,
28229,53,udp,CON,0.001138,132,2,
58414,53,udp,CON,0.001122,132,2,
62538,53,udp,CON,0.001079,132,2,
26334,80,tcp,FIN,0.257718,798,10,Exploits
10364,6601,udp,CON,0.001902,520,4,
21048,53,udp,CON,0.00109,132,2,
8985,111,udp,CON,0.005018,568,4,
63409,53,udp,CON,0.001128,146,2,
6686,53,udp,CON,0.001066,132,2,
40814,53,udp,CON,0.001099,132,2,
64882,53,udp,CON,0.001265,130,2,
22344,53,udp,CON,0.001128,130,2,
48289,20438,udp,CON,0.00198,528,4,
42591,53,udp,CON,0.00108,132,2,
46904,111,udp,CON,0.0053,568,4,
61379,53,udp,CON,0.001098,130,2,
50629,53,udp,CON,0.001132,130,2,
54957,53,udp,CON,0.001107,146,2,
31149,80,tcp,FIN,0.261421,840,10,Exploits
14789,53,udp,CON,0.00114,146,2,
62377,53,udp,CON,0.001044,130,2,
259,49320,icmp,URH,0,1780,5,
49320,0xc0a8,icmp,URH,0,1780,5,
38993,53,udp,CON,0.00106,132,2,
59720,53,udp,CON,0.00107,132,2,
21489,53,udp,CON,0.001144,130,2,
45682,53,udp,CON,0.001257,130,2,
32958,53,udp,CON,0.001124,132,2,
55879,53,udp,CON,0.001075,146,2,
43096,53,udp,CON,0.001114,132,2,
31439,53,udp,CON,0.001088,146,2,
45426,53,udp,CON,0.001053,132,2,
28993,53,udp,CON,0.001173,132,2,
39265,53,udp,CON,0.001054,132,2,
24289,25,tcp,FIN,0.787029,3422,20,Exploits
20460,53,udp,CON,0.001077,132,2,
35794,53,udp,CON,0.001133,130,2,
56172,53,udp,CON,0.001089,132,2,
56030,53,udp,CON,0.00108,132,2,
17200,53,udp,CON,0.001118,132,2,
58755,53,udp,CON,0.001053,132,2,
43666,25,tcp,FIN,0.648669,2730,18,Exploits
55249,5060,udp,INT,1.9e-05,1388,2,Generic
51641,53,udp,CON,0.001109,132,2,
31843,53,udp,CON,0.001052,132,2,
4012,53,udp,CON,0.001124,132,2,
36159,111,udp,INT,1.2e-05,168,2,Reconnaissance
18694,80,tcp,FIN,2.234799,1052,8,
29249,80,tcp,FIN,2.006714,1052,8,
10963,80,tcp,FIN,4.503565,1052,8,
23654,80,tcp,FIN,3.846685,1052,8,
61696,80,tcp,FIN,6.112835,1052,8,
37739,80,tcp,FIN,8.212167,1052,8,
11725,6881,tcp,FIN,0.037329,1540,16,
56661,53,udp,CON,0.013642,132,2,
49403,6881,tcp,FIN,0.08608,1540,16,
3326,6881,tcp,FIN,0.03954,1540,16,
26669,6881,tcp,FIN,0.060162,1540,16,
47184,80,tcp,FIN,14.197116,1052,8,
24697,80,tcp,FIN,23.899174,1052,8,
20446,80,tcp,FIN,28.12635,1052,8,
50089,80,tcp,FIN,28.680214,1052,8,
6885,80,tcp,FIN,2.966982,1052,8,
9246,80,tcp,FIN,2.809813,1052,8,
34443,80,tcp,FIN,6.091215,1052,8,
62042,80,tcp,FIN,7.64781,1052,8,
50168,80,tcp,FIN,12.428,1052,8,
43467,80,tcp,FIN,10.367127,1052,8,
31813,80,tcp,FIN,10.929884,1052,8,
10862,6881,tcp,FIN,0.037953,1540,16,
7401,6881,tcp,FIN,0.027114,1540,16,
55084,53,udp,CON,0.166605,130,2,
48190,6881,tcp,FIN,0.08713,1540,16,
23099,62846,udp,CON,0.001689,520,4,
21003,80,tcp,FIN,22.198818,1052,8,
50602,80,tcp,FIN,21.873175,1052,8,
64516,80,tcp,FIN,20.457491,1052,8,
34663,80,tcp,FIN,20.853247,1052,8,
58325,80,tcp,FIN,27.442144,1052,8,
8200,80,tcp,FIN,26.605263,1052,8,
10056,6881,tcp,FIN,0.05101,1540,16,
60165,80,tcp,FIN,2.252992,1052,8,
32481,80,tcp,FIN,10.782184,1052,8,
34127,80,tcp,FIN,9.960735,1052,8,
22269,80,tcp,FIN,16.696325,1034,8,
10741,80,tcp,FIN,26.564104,1052,8,
50778,80,tcp,FIN,22.006037,1052,8,
1643,80,tcp,FIN,23.296978,1052,8,
63485,53,udp,CON,0.00113,146,2,
52969,6881,tcp,FIN,0.076966,1540,16,
21523,111,udp,CON,0.004543,568,4,
31613,80,tcp,FIN,1.542397,1052,8,
2032,80,tcp,FIN,3.369798,1034,8,
21542,80,tcp,FIN,16.867229,1052,8,
49150,80,tcp,FIN,6.700934,1052,8,
45797,80,tcp,FIN,15.715037,1052,8,
10230,80,tcp,FIN,11.88349,1052,8,
54017,80,tcp,FIN,12.394734,1052,8,
14412,80,tcp,FIN,11.651845,1052,8,
2639,80,tcp,FIN,14.255907,1052,8,
10056,6881,tcp,FIN,0.05101,1540,16,
22336,80,tcp,FIN,0.174755,1052,8,
46481,6881,tcp,FIN,0.039511,1540,16,
47707,6881,tcp,FIN,0.044479,1540,16,
27651,6881,tcp,FIN,0.060936,1540,16,
57194,6881,tcp,FIN,0.060468,1540,16,
14306,80,tcp,FIN,23.02706,1052,8,
30266,80,tcp,FIN,25.474094,1052,8,
58220,80,tcp,FIN,25.376249,1052,8,
6645,80,tcp,FIN,29.268066,1052,8,
6051,80,tcp,FIN,26.991116,1052,8,
24415,80,tcp,FIN,2.012737,1052,8,
47744,80,tcp,FIN,9.113057,1052,8,
64065,80,tcp,FIN,11.38493,1052,8,
34360,80,tcp,FIN,13.468127,1052,8,
48463,80,tcp,FIN,16.012999,1052,8,
45041,6881,tcp,FIN,0.141118,1540,16,
60630,6881,tcp,FIN,0.047284,1540,16,
26232,80,tcp,FIN,24.033424,1052,8,
50815,80,tcp,FIN,27.092768,1052,8,
3231,80,tcp,FIN,28.78933,1052,8,
57998,80,tcp,FIN,1.75201,1052,8,
39375,80,tcp,FIN,5.042323,1052,8,
17707,25740,tcp,FIN,0.015244,320,6,
39705,6881,tcp,FIN,0.039414,1540,16,
8172,6881,tcp,FIN,0.098104,1540,16,
46461,6881,tcp,FIN,0.086391,1540,16,
32578,6881,tcp,FIN,0.031747,1540,16,
35600,53,udp,CON,0.001195,146,2,
1822,80,tcp,FIN,19.05183,1052,8,
21777,80,tcp,FIN,20.291468,1052,8,
35730,80,tcp,FIN,20.933847,1052,8,
16315,80,tcp,FIN,21.034044,1052,8,
11654,80,tcp,FIN,26.464136,1052,8,
40460,80,tcp,FIN,26.295465,1052,8,
42173,80,tcp,FIN,28.563492,1052,8,
14584,80,tcp,FIN,28.305147,1052,8,
50815,80,tcp,FIN,27.092768,1052,8,
38617,6881,tcp,FIN,0.051073,1540,16,
42115,6881,tcp,FIN,0.028475,1540,16,
14387,25740,tcp,FIN,0.019337,320,6,
20704,53,udp,CON,0.001115,132,2,
30773,80,tcp,FIN,3.575787,1052,8,
20120,80,tcp,FIN,7.790827,1052,8,
29826,80,tcp,FIN,7.260025,1052,8,
59390,80,tcp,FIN,11.131927,1052,8,
29776,80,tcp,FIN,14.398533,1052,8,
62669,80,tcp,FIN,20.481709,1052,8,
18211,80,tcp,FIN,20.632902,1052,8,
4567,80,tcp,FIN,26.93326,1052,8,
9078,6881,tcp,FIN,0.10101,1540,16,
30565,80,tcp,FIN,0.011614,1052,8,
62293,25740,tcp,FIN,0.287141,320,6,
43082,6881,tcp,FIN,0.087352,1540,16,
4156,6881,tcp,FIN,0.039965,1540,16,
58291,6881,tcp,FIN,0.060673,1540,16,
11424,80,tcp,FIN,2.93372,1052,8,
10412,80,tcp,FIN,15.562955,1052,8,
52076,80,tcp,FIN,16.445951,1034,8,
27391,80,tcp,FIN,16.554028,1052,8,
15794,80,tcp,FIN,24.73114,1052,8,
27412,80,tcp,FIN,23.828184,1052,8,
1736,80,tcp,FIN,25.450432,1052,8,
38983,80,tcp,FIN,24.954138,1052,8,
43054,80,tcp,FIN,28.791166,1052,8,
13377,80,tcp,FIN,0.187885,842,10,Exploits
45559,80,tcp,FIN,14.31095,1052,8,
12709,6881,tcp,FIN,1.125098,1540,16,
48236,6881,tcp,FIN,0.664413,1540,16,
2774,6881,tcp,FIN,0.222928,1540,16,
50678,6881,tcp,FIN,0.313031,1540,16,
9677,6881,tcp,FIN,0.648347,1540,16,
45783,6881,tcp,FIN,0.700356,1540,16,
10669,6881,tcp,FIN,0.206084,1540,16,
33601,80,tcp,FIN,1.809801,1052,8,
60805,80,tcp,FIN,9.713099,1052,8,
35472,6881,tcp,FIN,0.425799,1540,16,
65294,6881,tcp,FIN,0.380603,1540,16,
56830,6881,tcp,FIN,0.413293,1540,16,
55311,6881,tcp,FIN,0.153595,1540,16,
34963,80,tcp,FIN,13.951939,1052,8,
63383,80,tcp,FIN,13.646975,1052,8,
25317,80,tcp,FIN,15.408968,1052,8,
46973,80,tcp,FIN,9.107625,1052,8,
45143,6881,tcp,FIN,0.684183,1540,16,
52453,6881,tcp,FIN,0.334132,1540,16,
26220,6881,tcp,FIN,1.269562,1540,16,
62373,6881,tcp,FIN,1.24053,1540,16,
34167,6881,tcp,FIN,0.546086,1540,16,
59087,6881,tcp,FIN,1.082598,1540,16,
47400,6881,tcp,FIN,0.848425,1540,16,
13050,6881,tcp,FIN,0.47964,1540,16,
41874,6881,tcp,FIN,0.45361,1540,16,
20214,6881,tcp,FIN,0.63542,1540,16,
58082,6881,tcp,FIN,0.814771,1540,16,
64427,6881,tcp,FIN,0.565833,1540,16,
7660,6881,tcp,FIN,0.490453,1540,16,
9160,6881,tcp,FIN,0.754599,1540,16,
44140,6881,tcp,FIN,0.753481,2198,28,
48005,6881,tcp,FIN,0.320761,1540,16,
48601,6881,tcp,FIN,0.335681,1540,16,
7189,6881,tcp,FIN,1.225528,2198,28,
58593,6881,tcp,FIN,0.637823,1540,16,
53027,6881,tcp,FIN,0.549708,2198,28,
53699,6881,tcp,FIN,0.686386,1540,16,
12447,6881,tcp,FIN,0.8843,1540,16,
7179,6881,tcp,FIN,0.372,1540,16,
7018,6881,tcp,FIN,0.781375,1540,16,
33128,6881,tcp,FIN,0.746022,1540,16,
59250,25740,tcp,FIN,0.828069,320,6,
25725,6881,tcp,FIN,0.555766,2302,30,
64299,80,tcp,FIN,9.993944,1052,8,
39254,6881,tcp,FIN,0.311312,1540,16,
36845,6881,tcp,FIN,0.369066,1540,16,
27305,6881,tcp,FIN,0.852985,2302,30,
51619,6881,tcp,FIN,0.362594,1540,16,
50692,80,tcp,FIN,0.055553,1052,8,
59949,80,tcp,FIN,18.952354,1052,8,
30070,6881,tcp,FIN,1.205442,1540,16,
7998,6881,tcp,FIN,0.681727,1540,16,
37183,6881,tcp,FIN,0.9021,1540,16,
5232,6881,tcp,FIN,0.676134,1540,16,
6704,6881,tcp,FIN,1.333167,2302,30,
8590,6881,tcp,FIN,0.492168,1540,16,
2244,6881,tcp,FIN,1.08257,1540,16,
8558,80,tcp,FIN,6.979913,1052,8,
2513,80,tcp,FIN,10.814903,1052,8,
19265,6881,tcp,FIN,0.635081,1540,16,
36740,6881,tcp,FIN,0.56303,1540,16,
47376,53,udp,CON,0.000887,130,2,
57954,6881,tcp,FIN,0.413017,1540,16,
51298,53,udp,CON,0.000891,132,2,
26476,6881,tcp,FIN,0.153485,1540,16,
5706,80,tcp,FIN,1.707706,1052,8,
46774,6881,tcp,FIN,0.321011,1540,16,
47126,6881,tcp,FIN,0.320812,1540,16,
44650,6881,tcp,FIN,0.681271,1540,16,
16553,6881,tcp,FIN,1.099687,1540,16,
51730,6881,tcp,FIN,0.595115,1540,16,
51626,80,tcp,FIN,27.7742,1052,8,
17431,80,tcp,FIN,22.784115,1052,8,
22310,6881,tcp,FIN,0.379217,1540,16,
56019,6881,tcp,FIN,0.214048,1540,16,
60560,6881,tcp,FIN,0.154069,1540,16,
42085,6881,tcp,FIN,0.683609,1540,16,
5397,6881,tcp,FIN,0.238842,1540,16,
25360,6881,tcp,FIN,1.303814,1540,16,
38126,6881,tcp,FIN,0.646237,1540,16,
6250,6881,tcp,FIN,0.523799,1540,16,
13872,6881,tcp,FIN,0.452983,1540,16,
39281,6881,tcp,FIN,0.688261,1540,16,
44599,6881,tcp,FIN,0.700112,1540,16,
6171,6881,tcp,FIN,1.071383,2198,28,
39234,6881,tcp,FIN,0.492162,1540,16,
5789,6881,tcp,FIN,0.19074,1540,16,
41023,6881,tcp,FIN,0.453215,1540,16,
57573,25740,tcp,FIN,0.129193,320,6,
54993,6881,tcp,FIN,0.220072,1540,16,
58843,6881,tcp,FIN,0.031415,1540,16,
26731,80,tcp,FIN,27.833111,1052,8,
5686,80,tcp,FIN,12.497994,1052,8,
8169,6881,tcp,FIN,0.684039,1540,16,
42150,6881,tcp,FIN,0.374235,1540,16,
41670,6881,tcp,FIN,0.258222,1540,16,
24968,6881,tcp,FIN,1.213645,1540,16,
7660,6881,tcp,FIN,0.490453,1540,16,
11864,53,udp,CON,0.001353,146,2,
15412,6881,tcp,FIN,0.479402,1540,16,
1885,6881,tcp,FIN,0.449723,1540,16,
19315,6881,tcp,FIN,0.44894,1540,16,
31090,6881,tcp,FIN,0.435493,1540,16,
10493,6881,tcp,FIN,0.864646,2198,28,
25410,11922,tcp,FIN,0.831501,424,8,
14580,40637,tcp,FIN,11.658178,3806,64,
49744,6881,tcp,FIN,1.892299,2302,30,
16371,6881,tcp,FIN,1.142613,2302,30,
54687,6881,tcp,FIN,1.471921,1540,16,
21282,6881,tcp,FIN,1.779508,1540,16,
17590,6881,tcp,FIN,2.015608,1540,16,
40321,6881,tcp,FIN,1.646047,1540,16,
1285,6881,tcp,FIN,1.215781,1540,16,
14958,6881,tcp,FIN,1.738717,1540,16,
23123,6881,tcp,FIN,1.280685,1540,16,
65480,6881,tcp,FIN,1.420105,1540,16,
15547,6881,tcp,FIN,1.539459,1540,16,
62036,6881,tcp,FIN,1.658091,2302,30,
37421,6881,tcp,FIN,1.833641,1540,16,
58965,6881,tcp,FIN,2.253002,1540,16,
65522,6881,tcp,FIN,1.9276,1540,16,
1056,6881,tcp,FIN,2.152968,1540,16,
16885,6881,tcp,FIN,1.503615,1540,16,
15621,6881,tcp,FIN,1.428614,1540,16,
19229,6881,tcp,FIN,1.534578,1540,16,
43174,6881,tcp,FIN,1.396188,2198,28,
23124,6881,tcp,FIN,2.047916,1540,16,
65429,6881,tcp,FIN,2.018096,1540,16,
11982,6881,tcp,FIN,1.941035,1540,16,
1592,6881,tcp,FIN,1.489207,2094,26,
63289,6881,tcp,FIN,2.131519,1540,16,
20593,6881,tcp,FIN,1.655981,2302,30,
4815,6881,tcp,FIN,1.863104,1540,16,
49972,6881,tcp,FIN,1.844655,1540,16,
50226,6881,tcp,FIN,1.698712,1540,16,
17321,6881,tcp,FIN,1.594057,1540,16,
54308,6881,tcp,FIN,1.345141,1540,16,
64215,6881,tcp,FIN,1.640436,1540,16,
20935,6881,tcp,FIN,2.023998,1540,16,
23511,6881,tcp,FIN,2.020177,1540,16,
34457,6881,tcp,FIN,1.453405,1540,16,
14958,6881,tcp,FIN,1.738717,1540,16,
29406,6881,tcp,FIN,1.594783,1540,16,
5234,6881,tcp,FIN,1.692328,1540,16,
15401,53,udp,CON,0.000966,146,2,
25023,38586,tcp,FIN,8.696906,3806,64,
61715,1173,tcp,FIN,23.850355,3910,66,
27163,80,tcp,FIN,29.643118,1580,12,
16168,6881,tcp,FIN,1.799468,1540,16,
16989,6881,tcp,FIN,1.890113,1540,16,
22304,6881,tcp,FIN,2.035422,1540,16,
11735,6881,tcp,FIN,1.976893,1540,16,
7064,6881,tcp,FIN,1.286103,2198,28,
46996,6881,tcp,FIN,1.83811,1540,16,
60141,6881,tcp,FIN,1.278002,1540,16,
1468,6881,tcp,FIN,1.72031,1540,16,
31957,6881,tcp,FIN,1.968655,1540,16,
0,0,arp,CON,30.788803,138,3,
0,0,arp,CON,31.328632,56,2,
0,0,arp,CON,31.328632,56,2,
0,0,arp,CON,30.788803,138,3,
14655,6881,tcp,FIN,1.486998,1540,16,
38450,6881,tcp,FIN,0.923388,1540,16,
21175,53,udp,CON,0.000978,130,2,
10525,48241,tcp,FIN,16.933159,3806,64,
48916,6881,tcp,FIN,2.023785,1540,16,
50599,6881,tcp,FIN,2.172384,1540,16,
1258,6881,tcp,FIN,1.694141,1540,16,
15416,6881,tcp,FIN,1.680091,1540,16,
17064,6881,tcp,FIN,1.859181,1540,16,
17984,6881,tcp,FIN,1.969337,1540,16,
40044,6881,tcp,FIN,2.120688,2302,30,
41092,6881,tcp,FIN,1.334246,1540,16,
47913,6881,tcp,FIN,1.79061,1540,16,
54022,6881,tcp,FIN,1.474839,1540,16,
27479,6881,tcp,FIN,1.35171,1540,16,
35905,6881,tcp,FIN,1.945774,2302,30,
63838,6881,tcp,FIN,2.100899,1540,16,
15711,6881,tcp,FIN,1.977337,1540,16,
54163,6881,tcp,FIN,1.245469,1540,16,
42258,25740,tcp,FIN,0.907491,320,6,
25241,53,udp,CON,0.001029,146,2,
15360,6881,tcp,FIN,1.787826,1540,16,
62621,11922,tcp,FIN,1.484585,424,8,
42666,6881,tcp,FIN,1.936358,1540,16,
45193,6881,tcp,FIN,1.727938,1540,16,
35197,6881,tcp,FIN,1.606808,1540,16,
13272,6881,tcp,FIN,1.594882,1540,16,
55475,6881,tcp,FIN,1.301662,1540,16,
63450,6881,tcp,FIN,2.068236,1540,16,
32069,6881,tcp,FIN,1.575929,2198,28,
8976,6881,tcp,FIN,1.882363,1540,16,
26048,25740,tcp,FIN,1.232295,320,6,
35612,6881,tcp,FIN,1.659089,1540,16,
63085,6881,tcp,FIN,1.679681,1540,16,
22656,6881,tcp,FIN,2.065677,1540,16,
16007,6881,tcp,FIN,1.57673,1540,16,
33687,6881,tcp,FIN,1.873695,1540,16,
30894,6881,tcp,FIN,1.087592,1540,16,
53273,6881,tcp,FIN,1.147134,1540,16,
21612,80,tcp,FIN,28.208326,1580,12,
43815,5190,tcp,FIN,6.671264,1272,16,
19492,53,udp,CON,0.001066,146,2,
15662,53,udp,CON,0.001017,132,2,
36859,80,tcp,FIN,0.139373,1052,8,
46881,6881,tcp,FIN,1.097562,1540,16,
61728,6881,tcp,FIN,1.432434,2302,30,
14499,6881,tcp,FIN,1.475347,1540,16,
32819,6881,tcp,FIN,1.926795,1540,16,
7678,6881,tcp,FIN,1.943071,1540,16,
18398,6881,tcp,FIN,1.442154,2302,30,
34765,11922,tcp,FIN,2.110722,424,8,
39554,6881,tcp,FIN,1.895228,1540,16,
23177,6881,tcp,FIN,2.239228,1540,16,
61990,6881,tcp,FIN,2.310491,1540,16,
15904,6881,tcp,FIN,1.82676,1540,16,
18420,6881,tcp,FIN,2.096798,1540,16,
61973,6881,tcp,FIN,1.298148,1540,16,
9393,5190,tcp,FIN,15.672348,1272,16,
3518,6881,tcp,FIN,0.904896,1540,16,
1550,61902,udp,CON,0.522129,520,4,
32006,6881,tcp,FIN,2.17698,1540,16,
5072,6881,tcp,FIN,1.872422,1540,16,
10871,6881,tcp,FIN,1.969978,1540,16,
56862,6881,tcp,FIN,1.894948,2302,30,
11738,6881,tcp,FIN,2.117114,2302,30,
18817,6881,tcp,FIN,2.056882,1540,16,
37382,6881,tcp,FIN,1.688804,1540,16,
